TimeFromStart (s),AccelX (m/s^2),AccelY (m/s^2),AccelZ (m/s^2),GNSSVelxX (m/s),GNSSVelxY (m/s),GNSSVelxZ (m/s)
52.75,-0.1681871596,0.1720495406,-9.8298616707,,,
52.76,-0.180380221,0.0752795429,-9.9253259599,,,
52.77,-0.0674772949,0.22173949980000002,-9.7982808948,,,
52.78,-0.06146691159999999,0.17944927089999999,-9.6748664975,,,
52.79,-0.1512445393,0.13388152,-9.8480589688,,,
52.8,-0.0961316691,0.1650750521,-9.9378578365,,,
52.81,-0.052083091600000006,0.1220151666,-9.8760955036,,,
52.82,-0.09117852309999999,0.1795258257,-9.7348056734,,,
52.83,-0.16746910990000002,0.20126586310000003,-9.7311660647,,,
52.84,-0.1743400353,0.0777913199,-9.916337579499999,,,
52.85,-0.091044599,0.1861894387,-9.8952136934,,,
52.86,-0.0108171247,0.1922380063,-9.7018919885,,,
52.87,-0.1649267855,0.1156035694,-9.7657158971,,,
52.88,-0.1450106385,0.16876085429999998,-9.9558658898,,,
52.89,-0.0578071864,0.1307343948,-9.9254958332,,,
52.9,-0.0314436824,0.13057811879999998,-9.740553051200001,,,
52.91,-0.1095997053,0.1853661495,-9.6642062068,,,
52.92,-0.20120271950000002,0.1131528872,-9.904573112700001,,,
52.93,-0.1764574903,0.136970717,-9.9633783102,,,
52.94,-0.030364279499999997,0.1997999614,-9.7339257598,,,
52.95,-0.0742180215,0.13282242,-9.6803352237,0.005247306494883239,0.007339759665894892,0.023498106289978844
52.96,-0.1431578654,0.1881243545,-9.919368475699999,,,
52.97,-0.1092819381,0.1483378815,-9.9964253604,,,
52.98,-0.0827401818,0.11697000590000001,-9.8168872297,,,
52.99,-0.06046872,0.1882104087,-9.616143256400001,,,
53.0,-0.1774582895,0.1618225011,-9.7944229841,,,
53.01,-0.18051787049999998,0.1182563487,-10.0272916257,,,
53.02,-0.06081032919999999,0.21402218839999998,-9.8577864468,,,
53.03,-0.0355068565,0.1342516276,-9.6276082098,,,
53.04,-0.16554294849999998,0.15771741749999998,-9.7748070955,,,
53.05,-0.1650832477,0.1907359692,-10.0099489093,,,
53.06,-0.0799415575,0.11886189459999999,-9.9141247571,,,
53.07,0.0072879709,0.1737881335,-9.6626490355,,,
53.08,-0.087307574,0.17159282,-9.6785672009,,,
53.09,-0.2110222122,0.1233938965,-9.970661997799999,,,
53.1,-0.1541383448,0.18075628900000001,-9.9611490965,,,
53.11,-0.045176219999999996,0.1559022698,-9.6990756691,,,
53.12,-0.0742502452,0.1577488962,-9.6624746919,,,
53.13,-0.1152284327,0.2080404898,-9.9105343223,,,
53.14,-0.12518855510000002,0.0835936458,-10.0013740361,,,
53.15,-0.0851524936,0.1671003061,-9.8173156381,,,
53.16,-0.0398043514,0.1813825103,-9.6242845058,,,
53.17,-0.1906985301,0.1117013278,-9.8106838763,,,
53.18,-0.1673802617,0.1656360808,-9.9978335202,,,
53.19,-0.054644042399999995,0.16368551879999998,-9.8559603095,,,
53.2,-0.0639840902,0.1357473317,-9.668845683299999,,,
53.21,-0.1610290143,0.20486095449999997,-9.757689386600001,,,
53.22,-0.1622121665,0.1113984617,-9.9953785539,,,
53.23,-0.0943615974,0.1484528068,-9.9534034729,,,
53.24,0.010062380899999999,0.20906997380000003,-9.675650298599999,,,
53.25,-0.1276850584,0.0972792448,-9.6891492605,,,
53.26,-0.21652875,0.1436607796,-9.9332727492,,,
53.27,-0.1321930322,0.169896509,-9.9260814488,,,
53.28,-0.07353070540000001,0.1214798423,-9.7584351897,,,
53.29,-0.0664018036,0.21494661920000002,-9.6849538386,,,
53.3,-0.1111265155,0.1614529523,-9.8792254925,,,
53.31,-0.13543030949999998,0.0694369839,-9.9990047514,,,
53.32,-0.0521652342,0.2214679262,-9.8115980625,,,
53.33,-0.059662008399999994,0.1618271577,-9.655758738500001,,,
53.34,-0.1995529747,0.1304123434,-9.833560884,,,
53.35,-0.1179419341,0.18814968640000002,-9.9494673312,,,
53.36,-0.0449104205,0.12237968619999999,-9.879913181100001,,,
53.37,-0.0761346833,0.193844724,-9.6921168268,,,
53.38,-0.1742102089,0.198752596,-9.7555927932,,,
53.39,-0.1659417409,0.0745914818,-9.95747298,,,
53.4,-0.05532744690000001,0.21400020919999999,-9.8900601268,,,
53.41,0.0019745899,0.1827949542,-9.7017139196,,,
53.42,-0.1503948006,0.1145809772,-9.7805254161,,,
53.43,-0.1904964331,0.21182612979999998,-9.8967291415,,,
53.44,-0.11911186160000001,0.1072611543,-9.8789379001,,,
53.45,-0.0992782298,0.1488208654,-9.7512863576,,,
53.46,-0.0959591882,0.2671237802,-9.6975326538,,,
53.47,-0.1329805586,0.08154548119999999,-9.8803944886,,,
53.48,-0.10694338710000001,0.129464257,-9.945183247300001,,,
